"tollgate_id","time_window","direction","volume"
"3","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","94"
"3","[2016-09-19 18:00:00,2016-09-19 18:20:00)","1","73"
"2","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","55"
"1","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","27"
"1","[2016-09-19 18:20:00,2016-09-19 18:40:00)","1","94"
"3","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","56"
"3","[2016-09-19 18:20:00,2016-09-19 18:40:00)","1","78"
"2","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","50"
"1","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","18"
"1","[2016-09-19 18:40:00,2016-09-19 19:00:00)","1","65"
"3","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","61"
"3","[2016-09-19 18:40:00,2016-09-19 19:00:00)","1","77"
"2","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","49"
"1","[2016-09-20 08:00:00,2016-09-20 08:20:00)","0","53"
"1","[2016-09-20 08:00:00,2016-09-20 08:20:00)","1","132"
"3","[2016-09-20 08:00:00,2016-09-20 08:20:00)","0","145"
"3","[2016-09-20 08:00:00,2016-09-20 08:20:00)","1","154"
"2","[2016-09-20 08:00:00,2016-09-20 08:20:00)","0","112"
"1","[2016-09-20 08:20:00,2016-09-20 08:40:00)","0","50"
"1","[2016-09-20 08:20:00,2016-09-20 08:40:00)","1","151"
"3","[2016-09-20 08:20:00,2016-09-20 08:40:00)","0","173"
"3","[2016-09-20 08:20:00,2016-09-20 08:40:00)","1","209"
"2","[2016-09-20 08:20:00,2016-09-20 08:40:00)","0","111"
"1","[2016-09-20 08:40:00,2016-09-20 09:00:00)","0","45"
"1","[2016-09-20 08:40:00,2016-09-20 09:00:00)","1","131"
"3","[2016-09-20 08:40:00,2016-09-20 09:00:00)","0","154"
"3","[2016-09-20 08:40:00,2016-09-20 09:00:00)","1","210"
"2","[2016-09-20 08:40:00,2016-09-20 09:00:00)","0","112"
"1","[2016-09-20 09:00:00,2016-09-20 09:20:00)","0","51"
"1","[2016-09-20 09:00:00,2016-09-20 09:20:00)","1","150"
"3","[2016-09-20 09:00:00,2016-09-20 09:20:00)","0","144"
"3","[2016-09-20 09:00:00,2016-09-20 09:20:00)","1","191"
"2","[2016-09-20 09:00:00,2016-09-20 09:20:00)","0","105"
"1","[2016-09-20 09:20:00,2016-09-20 09:40:00)","0","68"
"1","[2016-09-20 09:20:00,2016-09-20 09:40:00)","1","142"
"3","[2016-09-20 09:20:00,2016-09-20 09:40:00)","0","142"
"3","[2016-09-20 09:20:00,2016-09-20 09:40:00)","1","222"
"2","[2016-09-20 09:20:00,2016-09-20 09:40:00)","0","99"
"1","[2016-09-20 09:40:00,2016-09-20 10:00:00)","0","59"
"1","[2016-09-20 09:40:00,2016-09-20 10:00:00)","1","173"
"3","[2016-09-20 09:40:00,2016-09-20 10:00:00)","0","144"
"3","[2016-09-20 09:40:00,2016-09-20 10:00:00)","1","174"
"2","[2016-09-20 09:40:00,2016-09-20 10:00:00)","0","87"
"1","[2016-09-20 17:00:00,2016-09-20 17:20:00)","0","38"
"1","[2016-09-20 17:00:00,2016-09-20 17:20:00)","1","111"
"3","[2016-09-20 17:00:00,2016-09-20 17:20:00)","0","126"
"3","[2016-09-20 17:00:00,2016-09-20 17:20:00)","1","84"
"2","[2016-09-20 17:00:00,2016-09-20 17:20:00)","0","82"
"1","[2016-09-20 17:20:00,2016-09-20 17:40:00)","0","42"
"1","[2016-09-20 17:20:00,2016-09-20 17:40:00)","1","110"
"3","[2016-09-20 17:20:00,2016-09-20 17:40:00)","0","116"
"3","[2016-09-20 17:20:00,2016-09-20 17:40:00)","1","86"
"2","[2016-09-20 17:20:00,2016-09-20 17:40:00)","0","86"
"1","[2016-09-20 17:40:00,2016-09-20 18:00:00)","0","38"
"1","[2016-09-20 17:40:00,2016-09-20 18:00:00)","1","133"
"3","[2016-09-20 17:40:00,2016-09-20 18:00:00)","0","95"
"3","[2016-09-20 17:40:00,2016-09-20 18:00:00)","1","106"
"2","[2016-09-20 17:40:00,2016-09-20 18:00:00)","0","85"
"1","[2016-09-20 18:00:00,2016-09-20 18:20:00)","0","26"
"1","[2016-09-20 18:00:00,2016-09-20 18:20:00)","1","78"
"3","[2016-09-20 18:00:00,2016-09-20 18:20:00)","0","81"
"3","[2016-09-20 18:00:00,2016-09-20 18:20:00)","1","90"
"2","[2016-09-20 18:00:00,2016-09-20 18:20:00)","0","77"
"1","[2016-09-20 18:20:00,2016-09-20 18:40:00)","0","29"
"1","[2016-09-20 18:20:00,2016-09-20 18:40:00)","1","60"
"3","[2016-09-20 18:20:00,2016-09-20 18:40:00)","0","100"
"3","[2016-09-20 18:20:00,2016-09-20 18:40:00)","1","84"
"2","[2016-09-20 18:20:00,2016-09-20 18:40:00)","0","60"
"1","[2016-09-20 18:40:00,2016-09-20 19:00:00)","0","20"
"1","[2016-09-20 18:40:00,2016-09-20 19:00:00)","1","53"
"3","[2016-09-20 18:40:00,2016-09-20 19:00:00)","0","63"
"3","[2016-09-20 18:40:00,2016-09-20 19:00:00)","1","88"
"2","[2016-09-20 18:40:00,2016-09-20 19:00:00)","0","56"
"1","[2016-09-21 08:00:00,2016-09-21 08:20:00)","0","122"
"1","[2016-09-21 08:00:00,2016-09-21 08:20:00)","1","100"
"3","[2016-09-21 08:00:00,2016-09-21 08:20:00)","0","135"
"3","[2016-09-21 08:00:00,2016-09-21 08:20:00)","1","126"
"2","[2016-09-21 08:00:00,2016-09-21 08:20:00)","0","37"
"1","[2016-09-21 08:20:00,2016-09-21 08:40:00)","0","126"
"1","[2016-09-21 08:20:00,2016-09-21 08:40:00)","1","105"
"3","[2016-09-21 08:20:00,2016-09-21 08:40:00)","0","163"
"3","[2016-09-21 08:20:00,2016-09-21 08:40:00)","1","122"
"2","[2016-09-21 08:20:00,2016-09-21 08:40:00)","0","30"
"1","[2016-09-21 08:40:00,2016-09-21 09:00:00)","0","77"
"1","[2016-09-21 08:40:00,2016-09-21 09:00:00)","1","119"
"3","[2016-09-21 08:40:00,2016-09-21 09:00:00)","0","120"
"3","[2016-09-21 08:40:00,2016-09-21 09:00:00)","1","149"
"2","[2016-09-21 08:40:00,2016-09-21 09:00:00)","0","66"
"1","[2016-09-21 09:00:00,2016-09-21 09:20:00)","0","49"
"1","[2016-09-21 09:00:00,2016-09-21 09:20:00)","1","137"
"3","[2016-09-21 09:00:00,2016-09-21 09:20:00)","0","139"
"3","[2016-09-21 09:00:00,2016-09-21 09:20:00)","1","131"
"2","[2016-09-21 09:00:00,2016-09-21 09:20:00)","0","104"
"1","[2016-09-21 09:20:00,2016-09-21 09:40:00)","0","55"
"1","[2016-09-21 09:20:00,2016-09-21 09:40:00)","1","132"
"3","[2016-09-21 09:20:00,2016-09-21 09:40:00)","0","120"
"3","[2016-09-21 09:20:00,2016-09-21 09:40:00)","1","83"
"2","[2016-09-21 09:20:00,2016-09-21 09:40:00)","0","100"
"1","[2016-09-21 09:40:00,2016-09-21 10:00:00)","0","53"
"1","[2016-09-21 09:40:00,2016-09-21 10:00:00)","1","122"
"3","[2016-09-21 09:40:00,2016-09-21 10:00:00)","0","130"
"3","[2016-09-21 09:40:00,2016-09-21 10:00:00)","1","78"
"2","[2016-09-21 09:40:00,2016-09-21 10:00:00)","0","80"
"1","[2016-09-21 17:00:00,2016-09-21 17:20:00)","0","47"
"1","[2016-09-21 17:00:00,2016-09-21 17:20:00)","1","94"
"3","[2016-09-21 17:00:00,2016-09-21 17:20:00)","0","118"
"3","[2016-09-21 17:00:00,2016-09-21 17:20:00)","1","77"
"2","[2016-09-21 17:00:00,2016-09-21 17:20:00)","0","88"
"1","[2016-09-21 17:20:00,2016-09-21 17:40:00)","0","35"
"1","[2016-09-21 17:20:00,2016-09-21 17:40:00)","1","109"
"3","[2016-09-21 17:20:00,2016-09-21 17:40:00)","0","116"
"3","[2016-09-21 17:20:00,2016-09-21 17:40:00)","1","94"
"2","[2016-09-21 17:20:00,2016-09-21 17:40:00)","0","77"
"1","[2016-09-21 17:40:00,2016-09-21 18:00:00)","0","20"
"1","[2016-09-21 17:40:00,2016-09-21 18:00:00)","1","94"
"3","[2016-09-21 17:40:00,2016-09-21 18:00:00)","0","100"
"3","[2016-09-21 17:40:00,2016-09-21 18:00:00)","1","95"
"2","[2016-09-21 17:40:00,2016-09-21 18:00:00)","0","83"
"1","[2016-09-21 18:00:00,2016-09-21 18:20:00)","0","20"
"1","[2016-09-21 18:00:00,2016-09-21 18:20:00)","1","74"
"3","[2016-09-21 18:00:00,2016-09-21 18:20:00)","0","90"
"3","[2016-09-21 18:00:00,2016-09-21 18:20:00)","1","67"
"2","[2016-09-21 18:00:00,2016-09-21 18:20:00)","0","58"
"1","[2016-09-21 18:20:00,2016-09-21 18:40:00)","0","20"
"1","[2016-09-21 18:20:00,2016-09-21 18:40:00)","1","85"
"3","[2016-09-21 18:20:00,2016-09-21 18:40:00)","0","72"
"3","[2016-09-21 18:20:00,2016-09-21 18:40:00)","1","75"
"2","[2016-09-21 18:20:00,2016-09-21 18:40:00)","0","72"
"1","[2016-09-21 18:40:00,2016-09-21 19:00:00)","0","24"
"1","[2016-09-21 18:40:00,2016-09-21 19:00:00)","1","78"
"3","[2016-09-21 18:40:00,2016-09-21 19:00:00)","0","52"
"3","[2016-09-21 18:40:00,2016-09-21 19:00:00)","1","68"
"2","[2016-09-21 18:40:00,2016-09-21 19:00:00)","0","49"
"1","[2016-09-22 08:00:00,2016-09-22 08:20:00)","0","50"
"1","[2016-09-22 08:00:00,2016-09-22 08:20:00)","1","106"
"3","[2016-09-22 08:00:00,2016-09-22 08:20:00)","0","164"
"3","[2016-09-22 08:00:00,2016-09-22 08:20:00)","1","121"
"2","[2016-09-22 08:00:00,2016-09-22 08:20:00)","0","108"
"1","[2016-09-22 08:20:00,2016-09-22 08:40:00)","0","58"
"1","[2016-09-22 08:20:00,2016-09-22 08:40:00)","1","98"
"3","[2016-09-22 08:20:00,2016-09-22 08:40:00)","0","160"
"3","[2016-09-22 08:20:00,2016-09-22 08:40:00)","1","127"
"2","[2016-09-22 08:20:00,2016-09-22 08:40:00)","0","110"
"1","[2016-09-22 08:40:00,2016-09-22 09:00:00)","0","51"
"1","[2016-09-22 08:40:00,2016-09-22 09:00:00)","1","111"
"3","[2016-09-22 08:40:00,2016-09-22 09:00:00)","0","172"
"3","[2016-09-22 08:40:00,2016-09-22 09:00:00)","1","136"
"2","[2016-09-22 08:40:00,2016-09-22 09:00:00)","0","101"
"1","[2016-09-22 09:00:00,2016-09-22 09:20:00)","0","43"
"1","[2016-09-22 09:00:00,2016-09-22 09:20:00)","1","123"
"3","[2016-09-22 09:00:00,2016-09-22 09:20:00)","0","151"
"3","[2016-09-22 09:00:00,2016-09-22 09:20:00)","1","116"
"2","[2016-09-22 09:00:00,2016-09-22 09:20:00)","0","96"
"1","[2016-09-22 09:20:00,2016-09-22 09:40:00)","0","52"
"1","[2016-09-22 09:20:00,2016-09-22 09:40:00)","1","107"
"3","[2016-09-22 09:20:00,2016-09-22 09:40:00)","0","132"
"3","[2016-09-22 09:20:00,2016-09-22 09:40:00)","1","110"
"2","[2016-09-22 09:20:00,2016-09-22 09:40:00)","0","81"
"1","[2016-09-22 09:40:00,2016-09-22 10:00:00)","0","59"
"1","[2016-09-22 09:40:00,2016-09-22 10:00:00)","1","110"
"3","[2016-09-22 09:40:00,2016-09-22 10:00:00)","0","101"
"3","[2016-09-22 09:40:00,2016-09-22 10:00:00)","1","96"
"2","[2016-09-22 09:40:00,2016-09-22 10:00:00)","0","65"
"1","[2016-09-22 17:00:00,2016-09-22 17:20:00)","0","29"
"1","[2016-09-22 17:00:00,2016-09-22 17:20:00)","1","114"
"3","[2016-09-22 17:00:00,2016-09-22 17:20:00)","0","131"
"3","[2016-09-22 17:00:00,2016-09-22 17:20:00)","1","78"
"2","[2016-09-22 17:00:00,2016-09-22 17:20:00)","0","71"
"1","[2016-09-22 17:20:00,2016-09-22 17:40:00)","0","36"
"1","[2016-09-22 17:20:00,2016-09-22 17:40:00)","1","102"
"3","[2016-09-22 17:20:00,2016-09-22 17:40:00)","0","122"
"3","[2016-09-22 17:20:00,2016-09-22 17:40:00)","1","86"
"2","[2016-09-22 17:20:00,2016-09-22 17:40:00)","0","76"
"1","[2016-09-22 17:40:00,2016-09-22 18:00:00)","0","33"
"1","[2016-09-22 17:40:00,2016-09-22 18:00:00)","1","113"
"3","[2016-09-22 17:40:00,2016-09-22 18:00:00)","0","117"
"3","[2016-09-22 17:40:00,2016-09-22 18:00:00)","1","78"
"2","[2016-09-22 17:40:00,2016-09-22 18:00:00)","0","70"
"1","[2016-09-22 18:00:00,2016-09-22 18:20:00)","0","26"
"1","[2016-09-22 18:00:00,2016-09-22 18:20:00)","1","81"
"3","[2016-09-22 18:00:00,2016-09-22 18:20:00)","0","83"
"3","[2016-09-22 18:00:00,2016-09-22 18:20:00)","1","54"
"2","[2016-09-22 18:00:00,2016-09-22 18:20:00)","0","83"
"1","[2016-09-22 18:20:00,2016-09-22 18:40:00)","0","21"
"1","[2016-09-22 18:20:00,2016-09-22 18:40:00)","1","83"
"3","[2016-09-22 18:20:00,2016-09-22 18:40:00)","0","86"
"3","[2016-09-22 18:20:00,2016-09-22 18:40:00)","1","53"
"2","[2016-09-22 18:20:00,2016-09-22 18:40:00)","0","63"
"1","[2016-09-22 18:40:00,2016-09-22 19:00:00)","0","24"
"1","[2016-09-22 18:40:00,2016-09-22 19:00:00)","1","88"
"3","[2016-09-22 18:40:00,2016-09-22 19:00:00)","0","65"
"3","[2016-09-22 18:40:00,2016-09-22 19:00:00)","1","99"
"2","[2016-09-22 18:40:00,2016-09-22 19:00:00)","0","53"
"1","[2016-09-23 08:00:00,2016-09-23 08:20:00)","0","49"
"1","[2016-09-23 08:00:00,2016-09-23 08:20:00)","1","110"
"3","[2016-09-23 08:00:00,2016-09-23 08:20:00)","0","149"
"3","[2016-09-23 08:00:00,2016-09-23 08:20:00)","1","118"
"2","[2016-09-23 08:00:00,2016-09-23 08:20:00)","0","112"
"1","[2016-09-23 08:20:00,2016-09-23 08:40:00)","0","68"
"1","[2016-09-23 08:20:00,2016-09-23 08:40:00)","1","127"
"3","[2016-09-23 08:20:00,2016-09-23 08:40:00)","0","132"
"3","[2016-09-23 08:20:00,2016-09-23 08:40:00)","1","135"
"2","[2016-09-23 08:20:00,2016-09-23 08:40:00)","0","106"
"1","[2016-09-23 08:40:00,2016-09-23 09:00:00)","0","50"
"1","[2016-09-23 08:40:00,2016-09-23 09:00:00)","1","112"
"3","[2016-09-23 08:40:00,2016-09-23 09:00:00)","0","161"
"3","[2016-09-23 08:40:00,2016-09-23 09:00:00)","1","154"
"2","[2016-09-23 08:40:00,2016-09-23 09:00:00)","0","118"
"1","[2016-09-23 09:00:00,2016-09-23 09:20:00)","0","41"
"1","[2016-09-23 09:00:00,2016-09-23 09:20:00)","1","129"
"3","[2016-09-23 09:00:00,2016-09-23 09:20:00)","0","176"
"3","[2016-09-23 09:00:00,2016-09-23 09:20:00)","1","134"
"2","[2016-09-23 09:00:00,2016-09-23 09:20:00)","0","92"
"1","[2016-09-23 09:20:00,2016-09-23 09:40:00)","0","52"
"1","[2016-09-23 09:20:00,2016-09-23 09:40:00)","1","107"
"3","[2016-09-23 09:20:00,2016-09-23 09:40:00)","0","157"
"3","[2016-09-23 09:20:00,2016-09-23 09:40:00)","1","137"
"2","[2016-09-23 09:20:00,2016-09-23 09:40:00)","0","93"
"1","[2016-09-23 09:40:00,2016-09-23 10:00:00)","0","44"
"1","[2016-09-23 09:40:00,2016-09-23 10:00:00)","1","105"
"3","[2016-09-23 09:40:00,2016-09-23 10:00:00)","0","137"
"3","[2016-09-23 09:40:00,2016-09-23 10:00:00)","1","96"
"2","[2016-09-23 09:40:00,2016-09-23 10:00:00)","0","76"
"1","[2016-09-23 17:00:00,2016-09-23 17:20:00)","0","45"
"1","[2016-09-23 17:00:00,2016-09-23 17:20:00)","1","113"
"3","[2016-09-23 17:00:00,2016-09-23 17:20:00)","0","130"
"3","[2016-09-23 17:00:00,2016-09-23 17:20:00)","1","86"
"2","[2016-09-23 17:00:00,2016-09-23 17:20:00)","0","95"
"1","[2016-09-23 17:20:00,2016-09-23 17:40:00)","0","38"
"1","[2016-09-23 17:20:00,2016-09-23 17:40:00)","1","105"
"3","[2016-09-23 17:20:00,2016-09-23 17:40:00)","0","108"
"3","[2016-09-23 17:20:00,2016-09-23 17:40:00)","1","110"
"2","[2016-09-23 17:20:00,2016-09-23 17:40:00)","0","92"
"1","[2016-09-23 17:40:00,2016-09-23 18:00:00)","0","46"
"1","[2016-09-23 17:40:00,2016-09-23 18:00:00)","1","141"
"3","[2016-09-23 17:40:00,2016-09-23 18:00:00)","0","137"
"3","[2016-09-23 17:40:00,2016-09-23 18:00:00)","1","121"
"2","[2016-09-23 17:40:00,2016-09-23 18:00:00)","0","95"
"1","[2016-09-23 18:00:00,2016-09-23 18:20:00)","0","40"
"1","[2016-09-23 18:00:00,2016-09-23 18:20:00)","1","93"
"3","[2016-09-23 18:00:00,2016-09-23 18:20:00)","0","98"
"3","[2016-09-23 18:00:00,2016-09-23 18:20:00)","1","100"
"2","[2016-09-23 18:00:00,2016-09-23 18:20:00)","0","80"
"1","[2016-09-23 18:20:00,2016-09-23 18:40:00)","0","45"
"1","[2016-09-23 18:20:00,2016-09-23 18:40:00)","1","96"
"3","[2016-09-23 18:20:00,2016-09-23 18:40:00)","0","129"
"3","[2016-09-23 18:20:00,2016-09-23 18:40:00)","1","95"
"2","[2016-09-23 18:20:00,2016-09-23 18:40:00)","0","71"
"1","[2016-09-23 18:40:00,2016-09-23 19:00:00)","0","32"
"1","[2016-09-23 18:40:00,2016-09-23 19:00:00)","1","108"
"3","[2016-09-23 18:40:00,2016-09-23 19:00:00)","0","80"
"3","[2016-09-23 18:40:00,2016-09-23 19:00:00)","1","96"
"2","[2016-09-23 18:40:00,2016-09-23 19:00:00)","0","80"
"1","[2016-09-24 08:00:00,2016-09-24 08:20:00)","0","43"
"1","[2016-09-24 08:00:00,2016-09-24 08:20:00)","1","95"
"3","[2016-09-24 08:00:00,2016-09-24 08:20:00)","0","114"
"3","[2016-09-24 08:00:00,2016-09-24 08:20:00)","1","122"
"2","[2016-09-24 08:00:00,2016-09-24 08:20:00)","0","74"
"1","[2016-09-24 08:20:00,2016-09-24 08:40:00)","0","64"
"1","[2016-09-24 08:20:00,2016-09-24 08:40:00)","1","101"
"3","[2016-09-24 08:20:00,2016-09-24 08:40:00)","0","121"
"3","[2016-09-24 08:20:00,2016-09-24 08:40:00)","1","113"
"2","[2016-09-24 08:20:00,2016-09-24 08:40:00)","0","86"
"1","[2016-09-24 08:40:00,2016-09-24 09:00:00)","0","71"
"1","[2016-09-24 08:40:00,2016-09-24 09:00:00)","1","102"
"3","[2016-09-24 08:40:00,2016-09-24 09:00:00)","0","127"
"3","[2016-09-24 08:40:00,2016-09-24 09:00:00)","1","107"
"2","[2016-09-24 08:40:00,2016-09-24 09:00:00)","0","91"
"1","[2016-09-24 09:00:00,2016-09-24 09:20:00)","0","52"
"1","[2016-09-24 09:00:00,2016-09-24 09:20:00)","1","82"
"3","[2016-09-24 09:00:00,2016-09-24 09:20:00)","0","117"
"3","[2016-09-24 09:00:00,2016-09-24 09:20:00)","1","115"
"2","[2016-09-24 09:00:00,2016-09-24 09:20:00)","0","94"
"1","[2016-09-24 09:20:00,2016-09-24 09:40:00)","0","68"
"1","[2016-09-24 09:20:00,2016-09-24 09:40:00)","1","86"
"3","[2016-09-24 09:20:00,2016-09-24 09:40:00)","0","113"
"3","[2016-09-24 09:20:00,2016-09-24 09:40:00)","1","128"
"2","[2016-09-24 09:20:00,2016-09-24 09:40:00)","0","96"
"1","[2016-09-24 09:40:00,2016-09-24 10:00:00)","0","66"
"1","[2016-09-24 09:40:00,2016-09-24 10:00:00)","1","78"
"3","[2016-09-24 09:40:00,2016-09-24 10:00:00)","0","134"
"3","[2016-09-24 09:40:00,2016-09-24 10:00:00)","1","124"
"2","[2016-09-24 09:40:00,2016-09-24 10:00:00)","0","100"
"1","[2016-09-24 17:00:00,2016-09-24 17:20:00)","0","73"
"1","[2016-09-24 17:00:00,2016-09-24 17:20:00)","1","94"
"3","[2016-09-24 17:00:00,2016-09-24 17:20:00)","0","167"
"3","[2016-09-24 17:00:00,2016-09-24 17:20:00)","1","87"
"2","[2016-09-24 17:00:00,2016-09-24 17:20:00)","0","71"
"1","[2016-09-24 17:20:00,2016-09-24 17:40:00)","0","55"
"1","[2016-09-24 17:20:00,2016-09-24 17:40:00)","1","85"
"3","[2016-09-24 17:20:00,2016-09-24 17:40:00)","0","124"
"3","[2016-09-24 17:20:00,2016-09-24 17:40:00)","1","88"
"2","[2016-09-24 17:20:00,2016-09-24 17:40:00)","0","89"
"1","[2016-09-24 17:40:00,2016-09-24 18:00:00)","0","32"
"1","[2016-09-24 17:40:00,2016-09-24 18:00:00)","1","105"
"3","[2016-09-24 17:40:00,2016-09-24 18:00:00)","0","102"
"3","[2016-09-24 17:40:00,2016-09-24 18:00:00)","1","87"
"2","[2016-09-24 17:40:00,2016-09-24 18:00:00)","0","85"
"1","[2016-09-24 18:00:00,2016-09-24 18:20:00)","0","42"
"1","[2016-09-24 18:00:00,2016-09-24 18:20:00)","1","78"
"3","[2016-09-24 18:00:00,2016-09-24 18:20:00)","0","108"
"3","[2016-09-24 18:00:00,2016-09-24 18:20:00)","1","57"
"2","[2016-09-24 18:00:00,2016-09-24 18:20:00)","0","34"
"1","[2016-09-24 18:20:00,2016-09-24 18:40:00)","0","35"
"1","[2016-09-24 18:20:00,2016-09-24 18:40:00)","1","75"
"3","[2016-09-24 18:20:00,2016-09-24 18:40:00)","0","108"
"3","[2016-09-24 18:20:00,2016-09-24 18:40:00)","1","77"
"2","[2016-09-24 18:20:00,2016-09-24 18:40:00)","0","-1"
"1","[2016-09-24 18:40:00,2016-09-24 19:00:00)","0","54"
"1","[2016-09-24 18:40:00,2016-09-24 19:00:00)","1","59"
"3","[2016-09-24 18:40:00,2016-09-24 19:00:00)","0","92"
"3","[2016-09-24 18:40:00,2016-09-24 19:00:00)","1","66"
"2","[2016-09-24 18:40:00,2016-09-24 19:00:00)","0","1"
"1","[2016-09-25 08:00:00,2016-09-25 08:20:00)","0","35"
"1","[2016-09-25 08:00:00,2016-09-25 08:20:00)","1","98"
"3","[2016-09-25 08:00:00,2016-09-25 08:20:00)","0","115"
"3","[2016-09-25 08:00:00,2016-09-25 08:20:00)","1","112"
"2","[2016-09-25 08:00:00,2016-09-25 08:20:00)","0","70"
"1","[2016-09-25 08:20:00,2016-09-25 08:40:00)","0","40"
"1","[2016-09-25 08:20:00,2016-09-25 08:40:00)","1","96"
"3","[2016-09-25 08:20:00,2016-09-25 08:40:00)","0","88"
"3","[2016-09-25 08:20:00,2016-09-25 08:40:00)","1","111"
"2","[2016-09-25 08:20:00,2016-09-25 08:40:00)","0","75"
"1","[2016-09-25 08:40:00,2016-09-25 09:00:00)","0","50"
"1","[2016-09-25 08:40:00,2016-09-25 09:00:00)","1","105"
"3","[2016-09-25 08:40:00,2016-09-25 09:00:00)","0","110"
"3","[2016-09-25 08:40:00,2016-09-25 09:00:00)","1","120"
"2","[2016-09-25 08:40:00,2016-09-25 09:00:00)","0","90"
"1","[2016-09-25 09:00:00,2016-09-25 09:20:00)","0","41"
"1","[2016-09-25 09:00:00,2016-09-25 09:20:00)","1","108"
"3","[2016-09-25 09:00:00,2016-09-25 09:20:00)","0","92"
"3","[2016-09-25 09:00:00,2016-09-25 09:20:00)","1","108"
"2","[2016-09-25 09:00:00,2016-09-25 09:20:00)","0","64"
"1","[2016-09-25 09:20:00,2016-09-25 09:40:00)","0","42"
"1","[2016-09-25 09:20:00,2016-09-25 09:40:00)","1","103"
"3","[2016-09-25 09:20:00,2016-09-25 09:40:00)","0","125"
"3","[2016-09-25 09:20:00,2016-09-25 09:40:00)","1","140"
"2","[2016-09-25 09:20:00,2016-09-25 09:40:00)","0","104"
"1","[2016-09-25 09:40:00,2016-09-25 10:00:00)","0","49"
"1","[2016-09-25 09:40:00,2016-09-25 10:00:00)","1","95"
